var_x,var_y,lag,correlation,n_obs
DJT,SP500,-24,0.09302463866197472,544
DJT,SP500,-23,0.009352084362866412,545
DJT,SP500,-22,-0.06600572338550736,546
DJT,SP500,-21,-0.09160488735996196,547
DJT,SP500,-20,-0.03523517301684035,548
DJT,SP500,-19,0.021479399961873674,549
DJT,SP500,-18,-0.03789548829303749,550
DJT,SP500,-17,-0.017567096468882683,551
DJT,SP500,-16,0.028935881857309175,552
DJT,SP500,-15,-0.03540487835115164,553
DJT,SP500,-14,-0.08536823822611893,554
DJT,SP500,-13,-0.05402357368965876,555
DJT,SP500,-12,0.00023053643801309727,556
DJT,SP500,-11,0.0479297144836391,557
DJT,SP500,-10,0.009551374322127854,558
DJT,SP500,-9,-0.08916612842297832,559
DJT,SP500,-8,-0.009560108925428256,560
DJT,SP500,-7,0.04392830145678727,561
DJT,SP500,-6,-0.031346350265880674,562
DJT,SP500,-5,-0.015240802289973793,563
DJT,SP500,-4,0.03708062862562869,564
DJT,SP500,-3,0.017598553352702228,565
DJT,SP500,-2,-0.06536477839590343,566
DJT,SP500,-1,0.04938978047234582,567
DJT,SP500,0,0.8071976760557216,568
DJT,SP500,1,0.0026114053814173138,567
DJT,SP500,2,-0.05186312940913085,566
DJT,SP500,3,-0.002168468377160418,565
DJT,SP500,4,-0.01505446100891994,564
DJT,SP500,5,0.02159569131555118,563
DJT,SP500,6,-0.08779765549832375,562
DJT,SP500,7,0.006541187800793597,561
DJT,SP500,8,-0.02892197166126278,560
DJT,SP500,9,-0.05206825620191804,559
DJT,SP500,10,0.042575457003448565,558
DJT,SP500,11,-0.018917812591816564,557
DJT,SP500,12,0.037341303792026236,556
DJT,SP500,13,-0.07741822565521832,555
DJT,SP500,14,-0.07979691466505236,554
DJT,SP500,15,0.06188256725924893,553
DJT,SP500,16,0.005194111382153368,552
DJT,SP500,17,0.047112615893144326,551
DJT,SP500,18,-0.019915161810465227,550
DJT,SP500,19,-0.02536405252441278,549
DJT,SP500,20,-0.04594405738970987,548
DJT,SP500,21,-0.09109621167248323,547
DJT,SP500,22,-0.012653171753708406,546
DJT,SP500,23,0.00990892339788521,545
DJT,SP500,24,0.0513790995850703,544
DJT,housing,-24,-0.001837316708438352,544
DJT,housing,-23,-0.024792987208041392,545
DJT,housing,-22,-0.0028800603039332083,546
DJT,housing,-21,0.014756066121073275,547
DJT,housing,-20,-0.023081841086910172,548
DJT,housing,-19,-0.02013463115053589,549
DJT,housing,-18,0.01401036823789108,550
DJT,housing,-17,0.01316181657459319,551
DJT,housing,-16,0.0039396048780916924,552
DJT,housing,-15,0.003110894916358489,553
DJT,housing,-14,0.004330927836196268,554
DJT,housing,-13,-0.011172410241368362,555
DJT,housing,-12,-0.056475864748136775,556
DJT,housing,-11,-0.05264939560533562,557
DJT,housing,-10,-0.030865413815617283,558
DJT,housing,-9,-0.05712988133453054,559
DJT,housing,-8,-0.04866106848605402,560
DJT,housing,-7,-0.019933384300052297,561
DJT,housing,-6,0.05452449686655945,562
DJT,housing,-5,0.062493136074370154,563
DJT,housing,-4,0.060786290111866086,564
DJT,housing,-3,0.05467857842111445,565
DJT,housing,-2,0.08844608370950056,566
DJT,housing,-1,0.026189454554871195,567
DJT,housing,0,0.003022200563675885,568
DJT,housing,1,0.011610020919496105,567
DJT,housing,2,0.07896144570106613,566
DJT,housing,3,0.044858308393656184,565
DJT,housing,4,0.012306265621269219,564
DJT,housing,5,0.044954341271794915,563
DJT,housing,6,0.11503898629649822,562
DJT,housing,7,0.11626550556984333,561
DJT,housing,8,0.07824284330638308,560
DJT,housing,9,0.06734491819049633,559
DJT,housing,10,0.07176054431102764,558
DJT,housing,11,0.052702065473970196,557
DJT,housing,12,0.05403870602852972,556
DJT,housing,13,0.03994749840395772,555
DJT,housing,14,0.00037210440012419577,554
DJT,housing,15,-0.02464086778144606,553
DJT,housing,16,-0.051707666153951656,552
DJT,housing,17,-0.016523391877979892,551
DJT,housing,18,-0.027977054317066923,550
DJT,housing,19,2.7883940278163372e-05,549
DJT,housing,20,-0.018027010950263,548
DJT,housing,21,-0.009293304960302088,547
DJT,housing,22,-0.03113944613555579,546
DJT,housing,23,-0.03979623148682161,545
DJT,housing,24,-0.00862591189498876,544
SP500,DJT,-24,0.05137909958507031,544
SP500,DJT,-23,0.00990892339788521,545
SP500,DJT,-22,-0.012653171753708406,546
SP500,DJT,-21,-0.09109621167248323,547
SP500,DJT,-20,-0.04594405738970987,548
SP500,DJT,-19,-0.02536405252441278,549
SP500,DJT,-18,-0.019915161810465227,550
SP500,DJT,-17,0.04711261589314432,551
SP500,DJT,-16,0.005194111382153368,552
SP500,DJT,-15,0.061882567259248934,553
SP500,DJT,-14,-0.07979691466505236,554
SP500,DJT,-13,-0.07741822565521832,555
SP500,DJT,-12,0.037341303792026236,556
SP500,DJT,-11,-0.018917812591816564,557
SP500,DJT,-10,0.042575457003448565,558
SP500,DJT,-9,-0.05206825620191804,559
SP500,DJT,-8,-0.028921971661262782,560
SP500,DJT,-7,0.006541187800793598,561
SP500,DJT,-6,-0.08779765549832375,562
SP500,DJT,-5,0.021595691315551183,563
SP500,DJT,-4,-0.015054461008919941,564
SP500,DJT,-3,-0.002168468377160418,565
SP500,DJT,-2,-0.05186312940913085,566
SP500,DJT,-1,0.002611405381417314,567
SP500,DJT,0,0.8071976760557216,568
SP500,DJT,1,0.04938978047234582,567
SP500,DJT,2,-0.06536477839590342,566
SP500,DJT,3,0.017598553352702228,565
SP500,DJT,4,0.03708062862562869,564
SP500,DJT,5,-0.015240802289973793,563
SP500,DJT,6,-0.031346350265880674,562
SP500,DJT,7,0.04392830145678727,561
SP500,DJT,8,-0.009560108925428256,560
SP500,DJT,9,-0.08916612842297833,559
SP500,DJT,10,0.009551374322127854,558
SP500,DJT,11,0.047929714483639106,557
SP500,DJT,12,0.0002305364380130973,556
SP500,DJT,13,-0.05402357368965876,555
SP500,DJT,14,-0.08536823822611893,554
SP500,DJT,15,-0.03540487835115164,553
SP500,DJT,16,0.02893588185730917,552
SP500,DJT,17,-0.017567096468882683,551
SP500,DJT,18,-0.03789548829303749,550
SP500,DJT,19,0.021479399961873678,549
SP500,DJT,20,-0.03523517301684035,548
SP500,DJT,21,-0.09160488735996196,547
SP500,DJT,22,-0.06600572338550736,546
SP500,DJT,23,0.009352084362866414,545
SP500,DJT,24,0.09302463866197472,544
SP500,housing,-24,0.008423300612533734,544
SP500,housing,-23,-0.003616912188320248,545
SP500,housing,-22,0.0054789765873167464,546
SP500,housing,-21,0.021120214228946346,547
SP500,housing,-20,-0.014290982906793441,548
SP500,housing,-19,-0.019074653948861486,549
SP500,housing,-18,-0.010980917908684351,550
SP500,housing,-17,-0.021607638447973854,551
SP500,housing,-16,-0.02256418420484038,552
SP500,housing,-15,-0.01503483135445481,553
SP500,housing,-14,-0.014745881158627466,554
SP500,housing,-13,-0.040370491961667546,555
SP500,housing,-12,-0.06991611986692514,556
SP500,housing,-11,-0.0511576572205648,557
SP500,housing,-10,-0.03370954527011515,558
SP500,housing,-9,-0.054116646953494614,559
SP500,housing,-8,-0.05588252401251022,560
SP500,housing,-7,-0.025074650586482405,561
SP500,housing,-6,0.04036295208858262,562
SP500,housing,-5,0.04823191620071971,563
SP500,housing,-4,0.04955893055639115,564
SP500,housing,-3,0.048661194988255746,565
SP500,housing,-2,0.08658889017882024,566
SP500,housing,-1,0.028659574800803233,567
SP500,housing,0,0.01247114695302765,568
SP500,housing,1,0.026786480588640735,567
SP500,housing,2,0.08264242445592566,566
SP500,housing,3,0.04611371694210242,565
SP500,housing,4,0.008752861087882554,564
SP500,housing,5,0.05667766489231727,563
SP500,housing,6,0.11905130396596238,562
SP500,housing,7,0.11654592785798788,561
SP500,housing,8,0.08389053185950567,560
SP500,housing,9,0.09365649707394402,559
SP500,housing,10,0.10504725550302974,558
SP500,housing,11,0.08283756273118054,557
SP500,housing,12,0.08330801763061192,556
SP500,housing,13,0.06358009104462843,555
SP500,housing,14,0.03354712349123127,554
SP500,housing,15,0.015974846858637592,553
SP500,housing,16,-0.0016375779281453233,552
SP500,housing,17,0.028828477341416137,551
SP500,housing,18,0.006555989660863687,550
SP500,housing,19,0.012475281051908484,549
SP500,housing,20,-0.0007931039855536569,548
SP500,housing,21,-0.008969711501228087,547
SP500,housing,22,-0.01563866702262831,546
SP500,housing,23,-0.021897979082507228,545
SP500,housing,24,0.023786191011689183,544
housing,DJT,-24,-0.00862591189498876,544
housing,DJT,-23,-0.03979623148682161,545
housing,DJT,-22,-0.03113944613555579,546
housing,DJT,-21,-0.00929330496030209,547
housing,DJT,-20,-0.018027010950263,548
housing,DJT,-19,2.7883940278163372e-05,549
housing,DJT,-18,-0.02797705431706692,550
housing,DJT,-17,-0.016523391877979892,551
housing,DJT,-16,-0.05170766615395166,552
housing,DJT,-15,-0.02464086778144606,553
housing,DJT,-14,0.00037210440012419577,554
housing,DJT,-13,0.03994749840395771,555
housing,DJT,-12,0.05403870602852972,556
housing,DJT,-11,0.052702065473970196,557
housing,DJT,-10,0.07176054431102764,558
housing,DJT,-9,0.06734491819049633,559
housing,DJT,-8,0.07824284330638308,560
housing,DJT,-7,0.11626550556984333,561
housing,DJT,-6,0.11503898629649822,562
housing,DJT,-5,0.04495434127179492,563
housing,DJT,-4,0.012306265621269219,564
housing,DJT,-3,0.04485830839365618,565
housing,DJT,-2,0.07896144570106613,566
housing,DJT,-1,0.011610020919496105,567
housing,DJT,0,0.003022200563675885,568
housing,DJT,1,0.0261894545548712,567
housing,DJT,2,0.08844608370950056,566
housing,DJT,3,0.05467857842111445,565
housing,DJT,4,0.060786290111866086,564
housing,DJT,5,0.06249313607437016,563
housing,DJT,6,0.054524496866559455,562
housing,DJT,7,-0.019933384300052294,561
housing,DJT,8,-0.04866106848605402,560
housing,DJT,9,-0.057129881334530536,559
housing,DJT,10,-0.03086541381561728,558
housing,DJT,11,-0.05264939560533562,557
housing,DJT,12,-0.05647586474813678,556
housing,DJT,13,-0.011172410241368362,555
housing,DJT,14,0.004330927836196268,554
housing,DJT,15,0.0031108949163584886,553
housing,DJT,16,0.0039396048780916924,552
housing,DJT,17,0.013161816574593192,551
housing,DJT,18,0.01401036823789108,550
housing,DJT,19,-0.02013463115053589,549
housing,DJT,20,-0.023081841086910176,548
housing,DJT,21,0.014756066121073275,547
housing,DJT,22,-0.0028800603039332083,546
housing,DJT,23,-0.024792987208041392,545
housing,DJT,24,-0.001837316708438352,544
housing,SP500,-24,0.023786191011689186,544
housing,SP500,-23,-0.021897979082507228,545
housing,SP500,-22,-0.015638667022628307,546
housing,SP500,-21,-0.008969711501228089,547
housing,SP500,-20,-0.000793103985553657,548
housing,SP500,-19,0.012475281051908486,549
housing,SP500,-18,0.006555989660863687,550
housing,SP500,-17,0.02882847734141614,551
housing,SP500,-16,-0.0016375779281453233,552
housing,SP500,-15,0.015974846858637592,553
housing,SP500,-14,0.03354712349123127,554
housing,SP500,-13,0.06358009104462845,555
housing,SP500,-12,0.08330801763061192,556
housing,SP500,-11,0.08283756273118054,557
housing,SP500,-10,0.10504725550302972,558
housing,SP500,-9,0.09365649707394402,559
housing,SP500,-8,0.08389053185950567,560
housing,SP500,-7,0.11654592785798788,561
housing,SP500,-6,0.11905130396596236,562
housing,SP500,-5,0.05667766489231728,563
housing,SP500,-4,0.008752861087882554,564
housing,SP500,-3,0.04611371694210242,565
housing,SP500,-2,0.08264242445592566,566
housing,SP500,-1,0.026786480588640738,567
housing,SP500,0,0.01247114695302765,568
housing,SP500,1,0.028659574800803233,567
housing,SP500,2,0.08658889017882024,566
housing,SP500,3,0.048661194988255746,565
housing,SP500,4,0.04955893055639115,564
housing,SP500,5,0.04823191620071971,563
housing,SP500,6,0.04036295208858262,562
housing,SP500,7,-0.025074650586482405,561
housing,SP500,8,-0.055882524012510225,560
housing,SP500,9,-0.054116646953494614,559
housing,SP500,10,-0.03370954527011515,558
housing,SP500,11,-0.0511576572205648,557
housing,SP500,12,-0.06991611986692514,556
housing,SP500,13,-0.040370491961667546,555
housing,SP500,14,-0.014745881158627464,554
housing,SP500,15,-0.015034831354454811,553
housing,SP500,16,-0.022564184204840375,552
housing,SP500,17,-0.021607638447973854,551
housing,SP500,18,-0.010980917908684351,550
housing,SP500,19,-0.019074653948861486,549
housing,SP500,20,-0.014290982906793441,548
housing,SP500,21,0.021120214228946346,547
housing,SP500,22,0.0054789765873167464,546
housing,SP500,23,-0.003616912188320248,545
housing,SP500,24,0.008423300612533734,544
